Source,Target,JourneyText,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Weight
"Green Park Station, West End","Derry Street, Kensington","Green Park Station, West End to Derry Street, Kensington",5,22,32,15,13,6,19,1,113
"Bank of England Museum, Bank","Golden Lane, Barbican","Bank of England Museum, Bank to Golden Lane, Barbican",2,9,11,20,22,16,30,3,113
"Eccleston Place, Victoria","Southwick Street, Paddington","Eccleston Place, Victoria to Southwick Street, Paddington",5,23,28,23,19,10,5,0,113
"Broadcasting House, Marylebone","Northumberland Avenue, Strand","Broadcasting House, Marylebone to Northumberland Avenue, Strand",0,15,30,17,17,9,25,0,113
"Kennington Lane Rail Bridge, Vauxhall","Strata, Southwark","Kennington Lane Rail Bridge, Vauxhall to Strata, Southwark",3,21,30,23,17,8,10,1,113
"Great Dover Street, Borough","Kingsway Southbound, Strand","Great Dover Street, Borough to Kingsway Southbound, Strand",4,15,7,19,33,19,16,0,113
"Guilford Street , Bloomsbury","British Museum, Bloomsbury","Guilford Street , Bloomsbury to British Museum, Bloomsbury",5,26,16,21,18,10,16,1,113
"Pritchard's Road, Bethnal Green","Queen Marys, Mile End","Pritchard's Road, Bethnal Green to Queen Marys, Mile End",0,4,16,23,24,18,27,1,113
"Embankment (Savoy), Strand","Victoria Embankment, Temple","Embankment (Savoy), Strand to Victoria Embankment, Temple",0,10,33,19,17,23,8,3,113
"Cloudesley Road, Angel","Appold Street, Liverpool Street","Cloudesley Road, Angel to Appold Street, Liverpool Street",6,21,24,26,17,2,16,0,112
"Empire Square, The Borough","Newgate Street , St. Paul's","Empire Square, The Borough to Newgate Street , St. Paul's",10,25,19,11,20,11,16,0,112
"Belvedere Road, South Bank","West Smithfield Rotunda, Farringdon","Belvedere Road, South Bank to West Smithfield Rotunda, Farringdon",8,43,16,14,22,5,4,0,112
"Jubilee Gardens, South Bank","Tower Gardens , Tower","Jubilee Gardens, South Bank to Tower Gardens , Tower",20,59,13,10,8,0,2,0,112
"New Globe Walk, Bankside","Southwark Station 2, Southwark","New Globe Walk, Bankside to Southwark Station 2, Southwark",10,32,23,9,14,12,10,2,112
"Aldersgate Street, Barbican","Jewry Street, Aldgate","Aldersgate Street, Barbican to Jewry Street, Aldgate",3,27,27,20,18,6,11,0,112
"Guildhouse Street, Victoria","Horseferry Road, Westminster","Guildhouse Street, Victoria to Horseferry Road, Westminster",5,14,29,22,17,14,11,0,112
"West Smithfield Rotunda, Farringdon","Jewry Street, Aldgate","West Smithfield Rotunda, Farringdon to Jewry Street, Aldgate",7,17,22,19,18,15,14,0,112
"Alfred Place, Bloomsbury","Warren Street Station, Euston","Alfred Place, Bloomsbury to Warren Street Station, Euston",8,19,18,17,23,12,14,1,112
"New Inn Yard, Shoreditch","Hollybush Gardens, Bethnal Green","New Inn Yard, Shoreditch to Hollybush Gardens, Bethnal Green",8,19,26,24,13,10,11,1,112
"Green Street, Mayfair","Little Argyll Street, West End","Green Street, Mayfair to Little Argyll Street, West End",29,45,13,8,5,10,2,0,112
"Guilford Street , Bloomsbury","Eversholt Street , Camden Town","Guilford Street , Bloomsbury to Eversholt Street , Camden Town",6,21,14,36,28,5,2,0,112
"Cleveland Gardens, Bayswater","Bayswater Road, Hyde Park","Cleveland Gardens, Bayswater to Bayswater Road, Hyde Park",7,25,23,26,17,3,11,0,112
"Theobalds Road , Holborn","Liverpool Road (N1 Centre), Angel","Theobalds Road , Holborn to Liverpool Road (N1 Centre), Angel",12,26,20,19,15,9,9,2,112
"St. James's Square, St. James's","Whitehall Place, Strand","St. James's Square, St. James's to Whitehall Place, Strand",21,32,16,15,11,8,9,0,112
"Kennington Oval, Oval","Bankside Mix, Bankside","Kennington Oval, Oval to Bankside Mix, Bankside",10,9,3,33,20,15,21,1,112
"New Inn Yard, Shoreditch","Wellington Row, Bethnal Green","New Inn Yard, Shoreditch to Wellington Row, Bethnal Green",3,24,18,20,16,13,17,1,112
"Dorset Square, Marylebone","Whiteley's, Bayswater","Dorset Square, Marylebone to Whiteley's, Bayswater",7,20,17,19,18,8,23,0,112
"Clerkenwell Green, Clerkenwell","Bath Street, St. Luke's","Clerkenwell Green, Clerkenwell to Bath Street, St. Luke's",12,20,21,11,21,10,17,0,112
"Little Argyll Street, West End","North Audley Street, Mayfair","Little Argyll Street, West End to North Audley Street, Mayfair",11,27,20,16,20,8,10,0,112
"Bricklayers Arms, Borough","Belvedere Road, South Bank","Bricklayers Arms, Borough to Belvedere Road, South Bank",15,23,26,16,10,13,9,0,112
"Harewood Avenue, Marylebone","Eccleston Place, Victoria","Harewood Avenue, Marylebone to Eccleston Place, Victoria",10,29,27,15,12,5,14,0,112
"Belgrove Street , King's Cross","Cheapside, Bank","Belgrove Street , King's Cross to Cheapside, Bank",14,25,24,14,15,18,2,0,112
"Bayley Street , Bloomsbury","Bolsover Street, Fitzrovia","Bayley Street , Bloomsbury to Bolsover Street, Fitzrovia",7,20,16,23,24,10,12,0,112
"Bow Church Station, Bow","New Road 1 , Whitechapel","Bow Church Station, Bow to New Road 1 , Whitechapel",5,33,28,27,7,7,5,0,112
"Liverpool Road (N1 Centre), Angel","Finsbury Square , Moorgate","Liverpool Road (N1 Centre), Angel to Finsbury Square , Moorgate",6,24,20,18,18,7,19,0,112
"Aldersgate Street, Barbican","Great Tower Street, Monument","Aldersgate Street, Barbican to Great Tower Street, Monument",1,22,20,28,16,13,10,2,112
"Penfold Street, Marylebone","Penfold Street, Marylebone","Penfold Street, Marylebone to Penfold Street, Marylebone",5,29,20,19,22,5,10,2,112
"Queen Marys, Mile End","Westferry DLR, Limehouse","Queen Marys, Mile End to Westferry DLR, Limehouse",13,17,30,28,8,6,9,1,112
"Eversholt Street , Camden Town","Bedford Way, Bloomsbury","Eversholt Street , Camden Town to Bedford Way, Bloomsbury",6,16,10,12,18,10,38,2,112
"Gloucester Road Station, South Kensington","West Cromwell Road, Earl's Court","Gloucester Road Station, South Kensington to West Cromwell Road, Earl's Court",12,17,17,12,25,17,11,1,112
"Queen Street, Bank","Newgate Street , St. Paul's","Queen Street, Bank to Newgate Street , St. Paul's",7,17,31,26,14,5,10,2,112
"Whiteley's, Bayswater","Exhibition Road, South Kensington","Whiteley's, Bayswater to Exhibition Road, South Kensington",2,10,24,22,27,18,8,1,112
"Ashley Place, Victoria","Lower Marsh, Waterloo","Ashley Place, Victoria to Lower Marsh, Waterloo",4,20,13,22,27,24,2,0,112
"Macclesfield Rd, St Lukes","Wormwood Street, Liverpool Street","Macclesfield Rd, St Lukes to Wormwood Street, Liverpool Street",5,24,20,26,21,6,10,0,112
"Chrisp Street Market, Poplar","Devons Road, Bow","Chrisp Street Market, Poplar to Devons Road, Bow",6,42,19,18,5,14,8,0,112
"Tooley Street, Bermondsey","Victoria Embankment, Temple","Tooley Street, Bermondsey to Victoria Embankment, Temple",10,30,29,15,13,11,4,0,112
"Portman Square, Marylebone","Dorset Square, Marylebone","Portman Square, Marylebone to Dorset Square, Marylebone",12,33,28,14,6,9,10,0,112
"Chapel Place, Marylebone","Winsland Street, Paddington","Chapel Place, Marylebone to Winsland Street, Paddington",8,20,21,16,19,10,18,0,112
"Fore Street, Guildhall","Queen Street, Bank","Fore Street, Guildhall to Queen Street, Bank",2,12,32,24,15,7,19,1,112
"Borough High Street, The Borough","Walworth Road, Southwark","Borough High Street, The Borough to Walworth Road, Southwark",2,29,19,24,22,8,8,0,112
"Charlotte Street, Fitzrovia","Harewood Avenue, Marylebone","Charlotte Street, Fitzrovia to Harewood Avenue, Marylebone",4,19,19,28,15,15,11,1,112
"Bayley Street , Bloomsbury","Great Titchfield Street, Fitzrovia","Bayley Street , Bloomsbury to Great Titchfield Street, Fitzrovia",7,18,15,25,11,16,20,0,112
"Regent's Row , Haggerston ","Altab Ali Park, Whitechapel","Regent's Row , Haggerston  to Altab Ali Park, Whitechapel",10,34,15,12,11,8,19,3,112
"Altab Ali Park, Whitechapel","Fournier Street, Whitechapel","Altab Ali Park, Whitechapel to Fournier Street, Whitechapel",6,22,35,19,14,12,4,0,112
"Great Dover Street, Borough","Bouverie Street, Temple","Great Dover Street, Borough to Bouverie Street, Temple",8,22,9,12,32,16,11,2,112
"Hoxton Street, Hoxton","Shoreditch Park, Hoxton","Hoxton Street, Hoxton to Shoreditch Park, Hoxton",2,26,21,19,27,10,5,2,112
"Queen Street, Bank","Jewry Street, Aldgate","Queen Street, Bank to Jewry Street, Aldgate",5,18,24,25,20,5,15,0,112
"Gloucester Terrace, Bayswater","Eastbourne Mews, Paddington","Gloucester Terrace, Bayswater to Eastbourne Mews, Paddington",8,16,30,24,18,5,11,0,112
"Leonard Circus , Shoreditch","Westferry DLR, Limehouse","Leonard Circus , Shoreditch to Westferry DLR, Limehouse",4,39,21,16,17,5,10,0,112
"Charlotte Street, Fitzrovia","Drummond Street , Euston","Charlotte Street, Fitzrovia to Drummond Street , Euston",4,16,17,25,21,10,18,1,112
"Endsleigh Gardens, Euston","Red Lion Street, Holborn","Endsleigh Gardens, Euston to Red Lion Street, Holborn",9,19,17,18,14,9,23,3,112
"Marylebone Lane, Marylebone","Great Titchfield Street, Fitzrovia","Marylebone Lane, Marylebone to Great Titchfield Street, Fitzrovia",2,14,16,18,26,18,17,1,112
"Dorset Square, Marylebone","St. John's Wood Church, Regent's Park","Dorset Square, Marylebone to St. John's Wood Church, Regent's Park",4,42,20,14,13,10,9,0,112
"Globe Town Market, Bethnal Green","Royal London Hospital, Whitechapel","Globe Town Market, Bethnal Green to Royal London Hospital, Whitechapel",6,26,20,21,9,17,12,1,112
"Portland Place, Marylebone","Waterloo Station 3, Waterloo","Portland Place, Marylebone to Waterloo Station 3, Waterloo",9,21,18,18,17,11,16,2,112
"Queen's Gate (North), Kensington","Whiteley's, Bayswater","Queen's Gate (North), Kensington to Whiteley's, Bayswater",7,14,14,27,25,12,13,0,112
"Craven Street, Strand","Whitehall Place, Strand","Craven Street, Strand to Whitehall Place, Strand",21,34,22,14,4,3,14,0,112
"Bonny Street, Camden Town","Harrington Square 2, Camden Town","Bonny Street, Camden Town to Harrington Square 2, Camden Town",10,22,19,30,15,9,7,0,112
"Sun Street, Liverpool Street","Pitfield Street (North),Hoxton","Sun Street, Liverpool Street to Pitfield Street (North),Hoxton",14,14,12,17,14,21,17,3,112
"Sedding Street, Sloane Square","Kennington Cross, Kennington","Sedding Street, Sloane Square to Kennington Cross, Kennington",7,9,16,21,22,12,23,2,112
"Turquoise Island, Notting Hill","Eastbourne Mews, Paddington","Turquoise Island, Notting Hill to Eastbourne Mews, Paddington",7,32,23,15,12,6,17,0,112
"Stonecutter Street, Holborn","Sardinia Street, Holborn","Stonecutter Street, Holborn to Sardinia Street, Holborn",1,25,18,13,21,12,21,1,112
"Holborn Circus, Holborn","Old Street Station, St. Luke's","Holborn Circus, Holborn to Old Street Station, St. Luke's",4,25,17,21,23,7,15,0,112
"Jubilee Gardens, South Bank","Golden Lane, Barbican","Jubilee Gardens, South Bank to Golden Lane, Barbican",5,21,13,29,22,10,12,0,112
"Baylis Road, Waterloo","Stonecutter Street, Holborn","Baylis Road, Waterloo to Stonecutter Street, Holborn",11,27,13,9,16,10,25,1,112
"Great Percy Street, Clerkenwell","Wardour Street, Soho","Great Percy Street, Clerkenwell to Wardour Street, Soho",9,28,26,22,10,6,10,1,112
"Castlehaven Road, Camden Town","Guilford Street , Bloomsbury","Castlehaven Road, Camden Town to Guilford Street , Bloomsbury",10,24,35,9,10,14,9,1,112
"Phillimore Gardens, Kensington","Hansard Mews, Shepherds Bush","Phillimore Gardens, Kensington to Hansard Mews, Shepherds Bush",10,23,19,17,24,12,6,1,112
"Bell Lane, Liverpool Street","Cheapside, Bank","Bell Lane, Liverpool Street to Cheapside, Bank",3,17,23,18,24,16,11,0,112
"Pont Street, Knightsbridge","Gloucester Road Station, South Kensington","Pont Street, Knightsbridge to Gloucester Road Station, South Kensington",15,28,27,22,14,3,2,1,112
"Royal London Hospital, Whitechapel","Great Tower Street, Monument","Royal London Hospital, Whitechapel to Great Tower Street, Monument",7,20,18,34,19,10,1,3,112
"Ontario Street, Elephant & Castle","Park Street, Bankside","Ontario Street, Elephant & Castle to Park Street, Bankside",10,16,21,17,18,13,16,1,112
"Cleveland Way, Bethnal Green","Furze Green, Bow","Cleveland Way, Bethnal Green to Furze Green, Bow",9,17,25,30,16,8,7,0,112
"Bankside Mix, Bankside","Walworth Road, Southwark","Bankside Mix, Bankside to Walworth Road, Southwark",13,19,30,15,12,16,7,0,112
"Prince Albert Road, Regent's Park","Greenland Road, Camden Town","Prince Albert Road, Regent's Park to Greenland Road, Camden Town",8,44,29,10,8,8,5,0,112
"Cartwright Gardens , Bloomsbury","Eversholt Street , Camden Town","Cartwright Gardens , Bloomsbury to Eversholt Street , Camden Town",9,21,26,16,15,16,7,2,112
"Bolsover Street, Fitzrovia","Paddington Street, Marylebone","Bolsover Street, Fitzrovia to Paddington Street, Marylebone",8,33,20,27,7,8,9,0,112
"Watney Market, Stepney","Sutton Street, Shadwell","Watney Market, Stepney to Sutton Street, Shadwell",4,25,21,18,14,13,17,0,112
"Hyde Park Corner, Hyde Park","Whiteley's, Bayswater","Hyde Park Corner, Hyde Park to Whiteley's, Bayswater",3,13,22,17,11,29,17,0,112
"Wren Street, Holborn","Castlehaven Road, Camden Town","Wren Street, Holborn to Castlehaven Road, Camden Town",7,23,17,23,15,10,16,1,112
"Millharbour, Millwall","Millharbour, Millwall","Millharbour, Millwall to Millharbour, Millwall",15,33,36,6,11,3,8,0,112
"Russell Square Station, Bloomsbury","Wormwood Street, Liverpool Street","Russell Square Station, Bloomsbury to Wormwood Street, Liverpool Street",8,10,18,24,21,12,17,2,112
"Philpot Street, Whitechapel","Old Ford Road, Bethnal Green","Philpot Street, Whitechapel to Old Ford Road, Bethnal Green",4,13,26,17,24,12,16,0,112
"Great Russell Street, Bloomsbury","St. Chad's Street, King's Cross","Great Russell Street, Bloomsbury to St. Chad's Street, King's Cross",5,35,14,12,19,7,16,4,112
"South Wharf Road, Paddington","Eastbourne Mews, Paddington","South Wharf Road, Paddington to Eastbourne Mews, Paddington",0,6,26,15,16,16,32,1,112
"Walmer Road, Notting Hill","Hyde Park Corner, Hyde Park","Walmer Road, Notting Hill to Hyde Park Corner, Hyde Park",1,9,26,30,26,7,12,1,112
"Belgrove Street , King's Cross","Prince Albert Road, Regent's Park","Belgrove Street , King's Cross to Prince Albert Road, Regent's Park",6,27,22,15,20,8,13,1,112
"Palace Gate, Kensington Gardens","Turquoise Island, Notting Hill","Palace Gate, Kensington Gardens to Turquoise Island, Notting Hill",18,24,28,12,12,9,9,0,112
"Eastbourne Mews, Paddington","Notting Hill Gate Station, Notting Hill","Eastbourne Mews, Paddington to Notting Hill Gate Station, Notting Hill",2,11,16,22,24,18,17,2,112
"Golden Square, Soho","Hatton Wall, Holborn","Golden Square, Soho to Hatton Wall, Holborn",7,17,33,14,20,11,9,1,112
"Waterloo Station 1, Waterloo","Kingsway, Covent Garden","Waterloo Station 1, Waterloo to Kingsway, Covent Garden",9,23,16,17,16,8,22,1,112
"Green Park Station, West End","Kensington Church Street, Kensington","Green Park Station, West End to Kensington Church Street, Kensington",6,27,25,15,18,9,8,4,112
"Green Park Station, West End","Wright's Lane, Kensington","Green Park Station, West End to Wright's Lane, Kensington",6,16,20,15,19,20,14,2,112
"Jubilee Plaza, Canary Wharf","Leman Street, Aldgate","Jubilee Plaza, Canary Wharf to Leman Street, Aldgate",6,18,22,27,19,6,14,0,112
"Albert Gate, Hyde Park","Grosvenor Square, Mayfair","Albert Gate, Hyde Park to Grosvenor Square, Mayfair",3,24,43,13,13,10,6,0,112
"Greenland Road, Camden Town","Kingsway Southbound, Strand","Greenland Road, Camden Town to Kingsway Southbound, Strand",3,22,24,18,16,20,9,0,112
"Farringdon Lane, Clerkenwell","Queen Street, Bank","Farringdon Lane, Clerkenwell to Queen Street, Bank",12,25,12,18,12,13,19,1,112
"Bankside Mix, Bankside","Kingsway Southbound, Strand","Bankside Mix, Bankside to Kingsway Southbound, Strand",9,8,6,35,29,11,13,1,112
"Prince Consort Road, Knightsbridge","Bramham Gardens, Earl's Court","Prince Consort Road, Knightsbridge to Bramham Gardens, Earl's Court",4,21,7,23,16,13,27,1,112
"Moorfields, Moorgate","Wood Street, Guildhall","Moorfields, Moorgate to Wood Street, Guildhall",1,16,30,19,21,9,16,0,112
"Aberdeen Place, St. John's Wood","Parkway, Camden Town","Aberdeen Place, St. John's Wood to Parkway, Camden Town",5,23,13,33,19,5,12,2,112
"Lisson Grove, St. John's Wood","Park Road (Baker Street), Regent's Park","Lisson Grove, St. John's Wood to Park Road (Baker Street), Regent's Park",0,12,35,27,20,7,10,1,112
"Queen Marys, Mile End","Sutton Street, Shadwell","Queen Marys, Mile End to Sutton Street, Shadwell",2,5,10,31,31,9,21,3,112
"Old Quebec Street, Marylebone","Crawford Street, Marylebone","Old Quebec Street, Marylebone to Crawford Street, Marylebone",0,6,13,18,27,27,21,0,112
"George Street, Marylebone","Paddington Green Police Station, Paddington","George Street, Marylebone to Paddington Green Police Station, Paddington",0,11,8,25,23,19,25,1,112
"St. James's Square, St. James's","Wellington Arch, Hyde Park","St. James's Square, St. James's to Wellington Arch, Hyde Park",0,11,35,22,2,17,24,1,112
"Pall Mall East, West End","Chapel Place, Marylebone","Pall Mall East, West End to Chapel Place, Marylebone",3,24,26,13,21,6,18,0,111
"Finsbury Library , Finsbury","Sun Street, Liverpool Street","Finsbury Library , Finsbury to Sun Street, Liverpool Street",3,16,20,23,20,21,6,2,111
"Twig Folly Bridge, Mile End","Flamborough Street, Limehouse","Twig Folly Bridge, Mile End to Flamborough Street, Limehouse",11,39,26,4,10,8,11,2,111
"Lower Thames Street, Monument","Somerset House, Strand","Lower Thames Street, Monument to Somerset House, Strand",0,21,31,15,17,23,4,0,111
"Millharbour, Millwall","Spindrift Avenue, Millwall","Millharbour, Millwall to Spindrift Avenue, Millwall",11,32,30,15,7,7,9,0,111
"Wardour Street, Soho","Cartwright Gardens , Bloomsbury","Wardour Street, Soho to Cartwright Gardens , Bloomsbury",11,17,10,19,21,20,12,1,111
"Vaughan Way, Wapping","Altab Ali Park, Whitechapel","Vaughan Way, Wapping to Altab Ali Park, Whitechapel",8,36,19,20,10,8,7,3,111
"Cheapside, Bank","Shoreditch High Street, Shoreditch","Cheapside, Bank to Shoreditch High Street, Shoreditch",8,24,33,16,13,9,8,0,111
"Norton Folgate, Liverpool Street","Regent's Row , Haggerston ","Norton Folgate, Liverpool Street to Regent's Row , Haggerston ",5,30,24,17,11,13,10,1,111
"Crosswall, Tower","Belgrove Street , King's Cross","Crosswall, Tower to Belgrove Street , King's Cross",10,32,22,6,11,8,19,3,111
"Barbican Centre, Barbican","West Smithfield Rotunda, Farringdon","Barbican Centre, Barbican to West Smithfield Rotunda, Farringdon",1,14,24,19,15,17,19,2,111
"Bankside Mix, Bankside","Strata, Southwark","Bankside Mix, Bankside to Strata, Southwark",6,18,19,14,12,20,21,1,111
"Palace Gate, Kensington Gardens","Gloucester Road (North), Kensington","Palace Gate, Kensington Gardens to Gloucester Road (North), Kensington",11,32,31,16,9,3,9,0,111
"Edgware Road Station, Paddington","Warwick Avenue Station, Maida Vale","Edgware Road Station, Paddington to Warwick Avenue Station, Maida Vale",8,34,24,8,19,10,8,0,111
"Whiteley's, Bayswater","Bishop's Bridge Road East, Bayswater","Whiteley's, Bayswater to Bishop's Bridge Road East, Bayswater",2,13,16,15,21,19,25,0,111
"Warwick Road, Olympia","Penywern Road, Earl's Court","Warwick Road, Olympia to Penywern Road, Earl's Court",10,33,21,12,11,14,10,0,111
"Concert Hall Approach 2, South Bank","New Globe Walk, Bankside","Concert Hall Approach 2, South Bank to New Globe Walk, Bankside",10,39,14,16,10,5,17,0,111
"Bell Lane, Liverpool Street","Albert Gardens, Stepney","Bell Lane, Liverpool Street to Albert Gardens, Stepney",8,18,29,11,27,13,5,0,111
"Gaywood  Street, Elephant & Castle","Pall Mall East, West End","Gaywood  Street, Elephant & Castle to Pall Mall East, West End",14,24,21,15,19,10,8,0,111
"Porchester Place, Paddington","Little Argyll Street, West End","Porchester Place, Paddington to Little Argyll Street, West End",19,27,24,6,11,9,14,1,111
"Milroy Walk, South Bank","Belgrove Street , King's Cross","Milroy Walk, South Bank to Belgrove Street , King's Cross",11,36,19,20,11,5,8,1,111
"George Street, Marylebone","Wells Street, Fitzrovia ","George Street, Marylebone to Wells Street, Fitzrovia ",10,35,24,12,14,8,8,0,111
"Cardinal Place, Victoria","Panton Street, West End","Cardinal Place, Victoria to Panton Street, West End",13,17,19,17,16,16,13,0,111
"St. Mary Axe, Aldgate","Granby Street, Shoreditch","St. Mary Axe, Aldgate to Granby Street, Shoreditch",3,18,15,24,17,15,18,1,111
"Westferry DLR, Limehouse","Aston Street, Stepney","Westferry DLR, Limehouse to Aston Street, Stepney",12,28,31,25,10,4,1,0,111
"Torrens Street, Angel","West Smithfield Rotunda, Farringdon","Torrens Street, Angel to West Smithfield Rotunda, Farringdon",8,27,25,14,15,4,17,1,111
"Waterloo Place, St. James's","Pall Mall East, West End","Waterloo Place, St. James's to Pall Mall East, West End",15,37,12,23,10,4,10,0,111
"Grove End Road, St. John's Wood","Wellington Road, St. John's Wood","Grove End Road, St. John's Wood to Wellington Road, St. John's Wood",8,32,21,22,14,9,4,1,111
"Fishermans Walk West, Canary Wharf","Vaughan Way, Wapping","Fishermans Walk West, Canary Wharf to Vaughan Way, Wapping",11,25,18,18,14,9,16,0,111
"York Hall, Bethnal Green","Wellington Row, Bethnal Green","York Hall, Bethnal Green to Wellington Row, Bethnal Green",5,30,12,17,25,15,6,1,111
"Westferry DLR, Limehouse","Braham Street, Aldgate","Westferry DLR, Limehouse to Braham Street, Aldgate",9,26,23,10,8,14,21,0,111
"Altab Ali Park, Whitechapel","Jewry Street, Aldgate","Altab Ali Park, Whitechapel to Jewry Street, Aldgate",6,16,21,18,16,11,22,1,111
"Brushfield Street, Liverpool Street","Fashion Street, Whitechapel","Brushfield Street, Liverpool Street to Fashion Street, Whitechapel",8,23,25,21,10,12,11,1,111
"Mallory Street, Marylebone","Mallory Street, Marylebone","Mallory Street, Marylebone to Mallory Street, Marylebone",6,26,31,13,9,10,16,0,111
"Cephas Street, Bethnal Green","Twig Folly Bridge, Mile End","Cephas Street, Bethnal Green to Twig Folly Bridge, Mile End",5,37,21,13,19,12,4,0,111
"Exhibition Road, South Kensington","Knightsbridge, Hyde Park","Exhibition Road, South Kensington to Knightsbridge, Hyde Park",18,36,19,16,7,7,3,5,111
"Hollybush Gardens, Bethnal Green","West Smithfield Rotunda, Farringdon","Hollybush Gardens, Bethnal Green to West Smithfield Rotunda, Farringdon",5,19,17,13,20,15,20,2,111
"Bankside Mix, Bankside","Borough Road, Elephant & Castle","Bankside Mix, Bankside to Borough Road, Elephant & Castle",5,28,24,13,18,13,8,2,111
"Howland Street, Fitzrovia","Marylebone Lane, Marylebone","Howland Street, Fitzrovia to Marylebone Lane, Marylebone",6,10,17,27,28,15,7,1,111
"Nevern Place, Earl's Court","Prince Consort Road, Knightsbridge","Nevern Place, Earl's Court to Prince Consort Road, Knightsbridge",3,9,6,29,32,7,21,4,111
"William IV Street, Strand","Waterloo Station 1, Waterloo","William IV Street, Strand to Waterloo Station 1, Waterloo",15,23,22,15,16,7,12,1,111
"Sidney Street, Stepney","Cantrell Road, Bow","Sidney Street, Stepney to Cantrell Road, Bow",3,25,23,16,18,9,15,2,111
"Wellington Street , Strand","LSBU (Borough Road), Elephant & Castle","Wellington Street , Strand to LSBU (Borough Road), Elephant & Castle",7,27,25,19,19,6,7,1,111
"Tysoe Street, Clerkenwell","Moor Street, Soho","Tysoe Street, Clerkenwell to Moor Street, Soho",18,22,17,13,17,15,7,2,111
"Mallory Street, Marylebone","Penfold Street, Marylebone","Mallory Street, Marylebone to Penfold Street, Marylebone",6,10,12,10,20,16,35,2,111
"Serpentine Car Park, Hyde Park","Gloucester Road (Central), South Kensington","Serpentine Car Park, Hyde Park to Gloucester Road (Central), South Kensington",9,24,14,17,13,19,15,0,111
"Hollybush Gardens, Bethnal Green","Twig Folly Bridge, Mile End","Hollybush Gardens, Bethnal Green to Twig Folly Bridge, Mile End",9,29,21,15,11,13,11,2,111
"Furze Green, Bow","Albert Gardens, Stepney","Furze Green, Bow to Albert Gardens, Stepney",10,14,19,20,23,11,14,0,111
"Walworth Road, Southwark","Cleaver Street, Kennington","Walworth Road, Southwark to Cleaver Street, Kennington",4,6,11,12,37,22,17,2,111
"Holborn Circus, Holborn","Soho Square , Soho","Holborn Circus, Holborn to Soho Square , Soho",7,29,21,18,14,15,6,1,111
"Queen Street, Bank","Webber Street , Southwark","Queen Street, Bank to Webber Street , Southwark",14,19,22,16,13,13,13,1,111
"Tooley Street, Bermondsey","Ontario Street, Elephant & Castle","Tooley Street, Bermondsey to Ontario Street, Elephant & Castle",11,28,19,21,13,5,13,1,111
"Alfred Place, Bloomsbury","Clerkenwell Green, Clerkenwell","Alfred Place, Bloomsbury to Clerkenwell Green, Clerkenwell",7,20,17,15,27,9,16,0,111
"South Kensington Station, South Kensington","Sedding Street, Sloane Square","South Kensington Station, South Kensington to Sedding Street, Sloane Square",12,26,20,16,15,13,6,3,111
"Euston Road, Euston","Abbey Orchard Street, Westminster","Euston Road, Euston to Abbey Orchard Street, Westminster",1,23,15,21,15,16,19,1,111
"The Tennis Courts, Regent's Park","Prince Albert Road, Regent's Park","The Tennis Courts, Regent's Park to Prince Albert Road, Regent's Park",16,32,32,8,11,6,6,0,111
"Harewood Avenue, Marylebone","Beaumont Street, Marylebone","Harewood Avenue, Marylebone to Beaumont Street, Marylebone",9,21,19,16,20,11,15,0,111
"Curlew Street, Shad Thames","Empire Square, The Borough","Curlew Street, Shad Thames to Empire Square, The Borough",4,18,33,23,17,11,4,1,111
"West Cromwell Road, Earl's Court","Gloucester Road Station, South Kensington","West Cromwell Road, Earl's Court to Gloucester Road Station, South Kensington",7,15,16,23,23,16,11,0,111
"Bell Street , Marylebone","Stanhope Gate, Mayfair","Bell Street , Marylebone to Stanhope Gate, Mayfair",5,14,16,17,19,10,30,0,111
"Elizabeth Bridge, Victoria","Sloane Avenue, Knightsbridge","Elizabeth Bridge, Victoria to Sloane Avenue, Knightsbridge",10,31,22,17,16,8,7,0,111
"Warwick Road, Olympia","Kensington Church Street, Kensington","Warwick Road, Olympia to Kensington Church Street, Kensington",9,32,24,19,11,10,6,0,111
"Tavistock Street, Covent Garden","Kennington Road  , Vauxhall","Tavistock Street, Covent Garden to Kennington Road  , Vauxhall",15,20,14,20,15,9,17,1,111
"Moorfields, Moorgate","Breams Buildings, Holborn","Moorfields, Moorgate to Breams Buildings, Holborn",11,23,26,27,12,5,7,0,111
"Hop Exchange, The Borough","Torrens Street, Angel","Hop Exchange, The Borough to Torrens Street, Angel",12,42,23,5,10,2,17,0,111
"East Road, Hoxton","Regent's Row , Haggerston ","East Road, Hoxton to Regent's Row , Haggerston ",15,27,20,17,13,10,7,2,111
"Geraldine Street, Elephant & Castle","Hop Exchange, The Borough","Geraldine Street, Elephant & Castle to Hop Exchange, The Borough",11,27,30,20,6,3,13,1,111
"Ontario Street, Elephant & Castle","Baylis Road, Waterloo","Ontario Street, Elephant & Castle to Baylis Road, Waterloo",13,28,14,22,19,6,9,0,111
"Torrens Street, Angel","Sun Street, Liverpool Street","Torrens Street, Angel to Sun Street, Liverpool Street",7,28,16,29,18,7,6,0,111
"Bank of England Museum, Bank","New Globe Walk, Bankside","Bank of England Museum, Bank to New Globe Walk, Bankside",4,24,25,21,18,5,14,0,111
