"200118","Parkway, Camden Town"
"200123","Burdett Road, Mile End"
"200127","East India DLR, Blackwall"
"200131","Clarkson Street, Bethnal Green"
"200132","Gaywood  Street, Elephant & Castle"
"200134","Albany Street, Regent's Park"
"200135","Selby Street, Whitechapel"
"200138","Heron Quays DLR, Canary Wharf"
"200141","Westfield Ariel Way, White City"
"200143","Lancaster Drive, Blackwall"
"200145","Gloucester Avenue, Camden Town"
"200146","Newby Place, Poplar"
"200147","Salmon Lane, Limehouse"
"200148","Sidney Street, Stepney"
"200149","Watney Street, Shadwell"
"200150","Cantrell Road, Bow"
"200151","Hoxton Station, Haggerston"
"200152","Pitfield Street (North),Hoxton"
"200153","Churchill Place, Canary Wharf"
"200154","Hansard Mews, Shepherds Bush"
"200155","Castalia Square, Cubitt Town"
"200156","Pott Street, Bethnal Green"
"200157","Fournier Street, Whitechapel"
"200158","Whiston Road, Haggerston"
"200159","Goldsmiths Row, Haggerston"
"200160","Langdon Park, Poplar"
"200161","Clinton Road, Mile End"
"200162","Watney Market, Stepney"
"200163","Jubilee Plaza, Canary Wharf"
"200164","PENTON STREET COMMS TEST TERMINAL _ CONTACT MATT McNULTY"
"200165","Wellington Row, Bethnal Green"
"200167","Twig Folly Bridge, Mile End"
"200168","Southern Grove, Bow"
"200174","Mostyn Grove, Bow"
"200203","King Edward Street, St Pauls"
"200226","Kingsway Southbound, Strand"
"200227","Westfield Library Corner, Shepherd's Bush"
"200230","The Green Bridge, Mile End"
"200231","Abingdon Green, Great College Street"
"200232","Preston's Road, Cubitt Town"
"200233","South Quay East, Canary Wharf"
"200234","Bancroft Road, Bethnal Green"
"200236","Greenberry Street, St.John's Wood"
"200238","Westferry DLR, Limehouse"
"200239","Old Montague Street, Whitechapel"
"200241","South Quay West, Canary Wharf"
"200242","Coborn Street, Mile End"
"200243","St John's Park, Cubitt Town"
"200244","Hollybush Gardens, Bethnal Green"
"200245","Westfield Eastern Access Road, Shepherd's Bush"
"200246","Eagle Wharf Road, Hoxton"
"200247","Globe Town Market, Bethnal Green"
"200248","Pitfield Street Central, Hoxton"
"200249","Queen Marys, Mile End"
"200250","Cleveland Way, Bethnal Green"
"200251","Bow Road Station, Bow"
"200252","Bow Church Station, Bow"
"200253","Fore Street, Guildhall"
"200254","Teviot Street, Poplar"
"200255","Devons Road, Bow"
"200256","Sutton Street, Shadwell"
"22158","Exhibition Road Museums, Knightsbridge"
"22159","Ebury Bridge, Pimlico"
"22160","Chelsea Bridge, Pimlico"
"22161","Vincent Street, Pimlico"
"22162","Southwark Station 1, Southwark"
"22163","Southwark Station 2, Southwark"
"22164","Eaton Square (South), Belgravia"
"22165","Fishermans Walk West, Canary Wharf"
"22166","Albert Gardens, Stepney"
"22167","Millharbour, Millwall"
"22168","6"
"22168","Mechanical Workshop PS"
"22169","Wren Street, Holborn"
"22170","Kennington Station, Kennington"
"22171","Red Lion Street, Holborn"
"22172","Bromley High Street, Bromley"
"22173","Old Ford Road, Bethnal Green"
"22174","Granby Street, Shoreditch"
"22175","Canton Street, Poplar"
"22176","Reardon Street, Wapping"
"22177","Christian Street, Whitechapel"
"22178","Lindfield Street, Poplar"
"22179","Exhibition Road, South Kensington"
"22180","Cheapside, Bank"
"22181","Harrington Square 2, Camden Town"
"22182","South Parade, Chelsea"
"22183","Crinan Street, King's Cross"
"2585","Orsett Terrace, Bayswater"
"2586","Cloudesley Road, Angel"
"2587","Wormwood Street, Liverpool Street"
"2589","Pembridge Villas, Notting Hill"
"2633","Palace Gardens Terrace, Notting Hill"
"2635","Concert Hall Approach 1, South Bank"
"2636","Prince Albert Road, Regent's Park"
"2637","Bermondsey Street, Bermondsey"
"2639","King Edward Walk, Waterloo"
"2641","New North Road 2, Hoxton"
"2648","Waterloo Bridge, South Bank"
"2649","Sardinia Street, Holborn"
"2660","Frith Street, Soho"
"2662","Butler Place, Westminster"
"2665","Lord's, St. John's Wood"
"2666","Howick Place, Westminster"
"2669","Charlotte Street, Fitzrovia"
"2670","Paddington Green, Paddington"
"2677","Natural History Museum, South Kensington"
"2678","Farm Street, Mayfair"
"2680","Harrowby Street, Marylebone"
"2681","Harriet Street, Knightsbridge"
"2682","Turquoise Island, Notting Hill"
"2683","Millbank House, Pimlico"
"2685","South Kensington Station, South Kensington"
"2686","Royal College Street, Camden Town"
"2687","Brick Lane Market, Shoreditch"
"2688","Clifford Street, Mayfair"
"2690","City Road, Angel"
"2691","Howland Street, Fitzrovia"
"2692","Waterloo Station 2, Waterloo"
"2693","Shouldham Street, Marylebone"
"2694","Oval Way, Lambeth"
"2695","Cadogan Gardens, Sloane Square"
"2696","Waterloo Station 1, Waterloo"
"2698","Aberdeen Place, St. John's Wood"
"2699","Snow Hill, Farringdon"
"2701","Columbia Road, Weavers"
"2703","Fire Brigade Pier, Vauxhall"
"3420","Sedding Street, Sloane Square"
"3421","Red Lion Square, Holborn"
"3422","Charlbert Street, St. John's Wood"
"3423","Lodge Road, St. John's Wood"
"3424","Broadcasting House, Marylebone"
"3425","Northington Street , Holborn"
"3426","Hampstead Road (Cartmel), Euston"
"3427","Fanshaw Street, Hoxton"
"3428","Pancras Road, King's Cross"
"3429","Abbey Orchard Street, Westminster"
"3430","Altab Ali Park, Whitechapel"
"3431","Grafton Street, Mayfair"
"3432","Farringdon Lane, Clerkenwell"
"3433","Sadlers Sports Centre, Finsbury"
"3434","Sancroft Street, Vauxhall"
"3435","Gloucester Road (Central), South Kensington"
"3436","Derry Street, Kensington"
"3437","Curzon Street, Mayfair"
"3438","Devonshire Square, Liverpool Street"
"3439","Tavistock Place, Bloomsbury"
"3440","Royal Avenue 1, Chelsea"
"3441","Vicarage Gate, Kensington"
"3442","Abingdon Villas, Kensington"
"3444","Penywern Road, Earl's Court"
"3445","Shoreditch High Street, Shoreditch"
"3446","De Vere Gardens, Kensington"
"3447","Gloucester Road (North), Kensington"
"3448","Webber Street , Southwark"
"3449","Breams Buildings, Holborn"
"3450","Great Titchfield Street, Fitzrovia"
"3451","Golden Square, Soho"
"3452","Panton Street, West End"
"3453","Chancery Lane, Holborn"
"3454","Denyer Street, Knightsbridge"
"3455","Wansey Street, Walworth"
"3456","Portugal Street, Holborn"
"3457","Rochester Row, Westminster"
"3458","Waterloo Place, St. James's"
"3459","Collingham Gardens, Earl's Court"
"3460","Warwick Square, Pimlico"
"3461","Sloane Avenue, Knightsbridge"
"3462","Royal Avenue 2, Chelsea"
"3463","Argyll Road, Kensington"
"3464","Green Street, Mayfair"
"3465","Eccleston Place, Victoria"
"3467","Vaughan Way, Wapping"
"3468","Margery Street, Clerkenwell"
"3469","Cadogan Place, Knightsbridge"
"3470","Great Percy Street, Clerkenwell"
"3471","Chadwell Street, Angel"
"3472","Colombo Street, Southwark"
"3473","Belgrave Square, Belgravia"
"3475","New Road  2, Whitechapel"
"3476","Hinde Street, Marylebone"
"3477","Porchester Place, Paddington"
"3478","Guildhouse Street, Victoria"
"3479","Old Brompton Road, South Kensington"
"3480","Smith Square, Westminster"
"3481","Rodney Road , Walworth"
"3482","Beaumont Street, Marylebone"
"3483","Fashion Street, Whitechapel"
"3484","Houghton Street, Strand"
"3485","Tyers Gate, Bermondsey"
"3486","St. Luke's Church, Chelsea"
"3487","Campden Hill Road, Notting Hill"
"3488","Charles II Street, West End"
"3489","Broadwick Street, Soho"
"3490","Southwick Street, Paddington"
"3491","Princes Square, Bayswater"
"3493","South Audley Street, Mayfair"
"3494","Foley Street, Fitzrovia"
"3495","Wells Street, Fitzrovia "
"3496","Winsland Street, Paddington"
"3497","Rathbone Street, Fitzrovia "
"3498","Geraldine Street, Elephant & Castle"
"3499","Prince Consort Road, Knightsbridge"
"3500","Baldwin Street, St. Luke's"
"3501","Clifton Street, Shoreditch"
"3502","Palissy Street, Shoreditch"
"3503","Victoria Embankment, Temple"
"3504","Moor Street, Soho"
"3505","Marloes Road, Kensington"
"3506","Stanhope Gate, Mayfair"
"3507","Alfred Place, Bloomsbury"
"959","Milroy Walk, South Bank"
"960","Hop Exchange, The Borough"
"961","Union Street, The Borough"
"962","Stamford Street, South Bank"
"963","Bankside Mix, Bankside"
"964","Bath Street, St. Luke's"
"965","Tachbrook Street, Victoria"
"966","New Kent Road, Borough"
"967","Golden Lane, Barbican"
"968","Cardinal Place, Victoria"
"969","Gower Place , Euston"
"970","Scala Street, Fitzrovia"
"971","Godliman Street, St. Paul's"
"972","Hampstead Road, Euston"
"973","Bethnal Green Road, Shoreditch"
"974","Guilford Street , Bloomsbury"
"975","Theobalds Road , Holborn"
"976","Longford Street, Regent's Park"
"977","Speakers' Corner 1, Hyde Park"
"978","Russell Square Station, Bloomsbury"
"979","Wenlock Road , Hoxton"
"980","Malet Street, Bloomsbury"
"981","British Museum, Bloomsbury"
"982","Holborn Circus, Holborn"
"983","Euston Road, Euston"
"984","Finsbury Circus, Liverpool Street"
"985","Hatton Garden, Holborn"
"986","Finsbury Library , Finsbury"
"988","Great Russell Street, Bloomsbury"
"989","Murray Grove , Hoxton"
"990","Cotton Garden Estate, Kennington"
"991","Crosswall, Tower"
"992","St. John Street, Finsbury"
"993","Drummond Street , Euston"
"994","Tanner Street, Bermondsey"
"995","Little Argyll Street, West End"
"996","Borough High Street, The Borough"
"997","Appold Street, Liverpool Street"
"998","Lollard Street, Vauxhall"
"999","Queen Street, Bank"
"999999900","NA"
"999999901","tabletop1"
